timestamp,open,high,low,close,volume,volume_btc
1526664600000, 12.445, 12.463, 12.357, 12.357, 467924, 376662.5674427686
1526666400000, 12.365, 12.69, 12.34, 12.689, 828736, 662907.3603169466
1526668200000, 12.642, 12.91, 12.632, 12.812, 909180, 711912.4828078849
1526670000000, 12.812, 13.051, 12.812, 12.822, 1204792, 930595.8941612944
1526671800000, 12.9, 12.972, 12.777, 12.912, 676874, 525503.510717437
1526673600000, 12.912, 12.99, 12.861, 12.881, 395902, 306729.66657287127
1526675400000, 12.879, 12.9, 12.767, 12.825, 462130, 360327.39132472273
1526677200000, 12.834, 12.996, 12.752, 12.917, 753410, 584794.5728109916
1526679000000, 12.906, 13.2, 12.88, 13.03, 1505446, 1148799.4499701122
1526680800000, 13.04, 13.154, 12.917, 12.95, 662042, 506358.00203998724
1526682600000, 12.95, 13.003, 12.861, 12.943, 628504, 486195.3428495727
1526684400000, 12.942, 13.04, 12.91, 12.95, 559940, 431879.8463756449
1526686200000, 12.947, 12.988, 12.88, 12.927, 425528, 329029.95962148457
1526688000000, 12.928, 13.02, 12.838, 12.85, 613400, 473607.53217705764
1526689800000, 12.879, 12.884, 12.65, 12.692, 1680206, 1318868.080270293
1526691600000, 12.683, 12.807, 12.596, 12.689, 925050, 729225.2892752768
1526693400000, 12.69, 12.818, 12.64, 12.768, 630472, 494723.7548303663
1526695200000, 12.759, 12.79, 12.704, 12.741, 405224, 317938.1498906634
1526697000000, 12.741, 12.76, 12.668, 12.705, 528716, 415648.78442452603
1526698800000, 12.705, 12.84, 12.689, 12.816, 770302, 602694.9210800946
1526700600000, 12.816, 12.904, 12.781, 12.809, 688472, 535834.0571362986
1526702400000, 12.809, 12.885, 12.778, 12.828, 582674, 454287.02315109957
1526704200000, 12.829, 12.847, 12.76, 12.791, 349630, 273132.2932052109
1526706000000, 12.79, 12.838, 12.761, 12.804, 309378, 241582.4434138239
1526707800000, 12.807, 12.85, 12.791, 12.834, 381582, 297707.5779806633
1526709600000, 12.837, 13.05, 12.82, 12.993, 1206970, 933032.0545636979
1526711400000, 13.026, 13.032, 12.8, 12.834, 1025072, 794716.3562128922
1526713200000, 12.842, 12.848, 12.702, 12.71, 785790, 614548.7413835387
1526715000000, 12.711, 12.746, 12.5, 12.65, 1676036, 1329211.3237685303
1526716800000, 12.65, 12.72, 12.6, 12.683, 1128942, 892085.0517693736
1526718600000, 12.704, 12.791, 12.656, 12.773, 729110, 572983.4950140162
1526720400000, 12.786, 12.799, 12.687, 12.708, 714622, 560846.2865910958
1526722200000, 12.72, 12.735, 12.653, 12.71, 438908, 345676.74970125104
1526724000000, 12.71, 13.041, 12.688, 12.887, 2005626, 1555138.788981777
1526725800000, 12.878, 12.909, 12.798, 12.864, 681496, 529955.5892124423
1526727600000, 12.861, 12.933, 12.847, 12.847, 569336, 441833.93536129344
1526729400000, 12.842, 13.094, 12.832, 13.089, 1417746, 1094090.3528268873
1526731200000, 13.09, 13.2, 12.98, 13.011, 1537326, 1176228.892216475
1526733000000, 13.011, 13.252, 12.99, 13.177, 1330914, 1013889.0837473262
1526734800000, 13.177, 13.525, 13.169, 13.255, 3309300, 2482912.3988622283
1526736600000, 13.257, 13.274, 13.13, 13.18, 1695546, 1286085.6694391055
1526738400000, 13.181, 13.26, 13.163, 13.248, 853524, 646304.1745846979
1526740200000, 13.114, 13.248, 13.107, 13.193, 764704, 580429.8280500701
1526742000000, 13.19, 13.196, 12.97, 13.09, 1294378, 886829.4562283532
1526743800000, 13.084, 13.234, 13.057, 13.168, 945330, 718250.3450367918
1526745600000, 13.175, 13.184, 13.01, 13.088, 801922, 611931.6099054766
1526747400000, 13.083, 13.149, 13, 13.031, 718980, 550294.8917176885
1526749200000, 13.031, 13.177, 12.993, 13.098, 720446, 550820.8643322712
1526751000000, 13.096, 13.165, 13.067, 13.163, 362862, 276666.3778168301
1526752800000, 13.157, 13.2, 13.138, 13.192, 493726, 374810.9410678233
1526754600000, 13.197, 13.2, 13.139, 13.163, 305558, 231906.01775213025
1526756400000, 13.171, 13.179, 13.101, 13.157, 320290, 243575.7512389516
1526758200000, 13.154, 13.2, 13.119, 13.191, 1031528, 782082.0499801419
1526760000000, 13.19, 13.198, 13.153, 13.183, 253840, 192600.91956032807
1526761800000, 13.186, 13.199, 13.105, 13.111, 363032, 275693.7057081921
1526763600000, 13.113, 13.145, 13.06, 13.08, 422694, 322726.2711436003
1526765400000, 13.069, 13.09, 12.926, 12.94, 486598, 374254.23136351607
1526767200000, 12.953, 13.109, 12.952, 13.05, 396706, 303980.3577051837
1526769000000, 13.044, 13.086, 12.92, 13.035, 498670, 383357.6948316342
1526770800000, 13.036, 13.09, 12.994, 13.075, 309160, 236919.32266569883
1526772600000, 13.075, 13.19, 13.061, 13.18, 470376, 357990.2567372912
1526774400000, 13.178, 13.19, 13.097, 13.131, 378484, 288256.5492506005
1526776200000, 13.129, 13.145, 13.03, 13.07, 473134, 361852.9342571209
1526778000000, 13.07, 13.159, 13.027, 13.108, 566938, 432950.7575246454
1526779800000, 13.102, 13.413, 13.076, 13.343, 1331816, 1004611.1340698955
1526781600000, 13.34, 13.774, 13.258, 13.684, 2865084, 2121772.395043213
